科目,2021年,2022年,2023年,2024年
一、营业总收入,8562000000,9234000000,10156000000,11892000000
其中：营业收入,8562000000,9234000000,10156000000,11892000000
二、营业总成本,7125000000,7789000000,8621000000,10154000000
其中：营业成本,5987000000,6542000000,7253000000,8567000000
税金及附加,45800000,51200000,58900000,67300000
销售费用,425600000,468300000,501200000,568900000
管理费用,387200000,398700000,426800000,465200000
研发费用,189600000,215600000,254300000,312700000
财务费用,87500000,107800000,121600000,145200000
其中：利息费用,82300000,101200000,114500000,138900000
加：其他收益,42300000,56700000,48900000,62300000
投资收益,12560000,8920000,15680000,-4300000
信用减值损失,-18500000,-22300000,-31200000,-28700000
三、营业利润,1492380000,1528920000,1685980000,1747430000
加：营业外收入,8500000,12300000,6700000,9800000
减：营业外支出,3200000,4500000,5800000,7200000
四、利润总额,1497680000,1537350000,1686880000,1750030000
减：所得税费用,224652000,230602500,253032000,262504500
五、净利润,1273028000,1306747500,1433848000,1487525500
归属于母公司股东的净利润,1256800000,1289500000,1415600000,1468900000
少数股东损益,16228000,17247500,18248000,18625500
基本每股收益,0.62,0.64,0.71,0.73
