科目,2021年,2022年,2023年,2024年
货币资金,1234560000,1456780000,1678900000,1987650000
交易性金融资产,456000000,389000000,412000000,378000000
应收账款,1876500000,1987600000,2234500000,2654300000
预付款项,156780000,178960000,198700000,234560000
存货,987650000,1123450000,1345670000,1567890000
流动资产合计,4712540000,5136490000,5875670000,6836540000
长期股权投资,345600000,378900000,412300000,445600000
固定资产,3456780000,3876540000,4234560000,4678900000
在建工程,567800000,678900000,789000000,567800000
无形资产,234500000,256700000,289000000,312300000
非流动资产合计,4604580000,5201550000,5723760000,6004000000
资产总计,9317120000,10338040000,11599430000,12840540000
短期借款,890000000,987000000,1123000000,1345000000
应付账款,1456700000,1567800000,1789600000,1987650000
预收款项,234560000,278900000,312300000,389000000
应付职工薪酬,87650000,98760000,112300000,134500000
应交税费,123450000,145670000,167890000,198760000
流动负债合计,2792760000,3078010000,3505080000,4055010000
长期借款,1234560000,1456780000,1678900000,1890000000
应付债券,567800000,456700000,345600000,234500000
非流动负债合计,1802360000,1913480000,2024500000,2124500000
负债合计,4595120000,4991490000,5529580000,6179510000
实收资本,2000000000,2000000000,2000000000,2000000000
资本公积,890000000,890000000,890000000,890000000
盈余公积,345678000,389765000,423567000,467890000
未分配利润,1486332000,2065004000,2747863000,3307730000
归属于母公司股东权益合计,4722010000,5344769000,6061431000,6665620000
少数股东权益,-100000,22710000,28412000,5410000
所有者权益合计,4722000000,5366550000,6089850000,6671030000
